date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-06-01,IOS,dhgate_product350_US_Purchase 30D_purchase_IAP_Kelsey_20260517,eZwoS7yMwcYqxbzm,50.86,1016,472,,,,,,,,,
2026-06-01,ANDROID,dhgate_product351_US_Purchase 30D_purchase_IAP_Kelsey_20260518,QTLyTb1PbE3fo5hj,50.23,1526,359,,,,,,,,,
2026-06-01,IOS,dhgate_product357_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260521,secYrwGRxGvE22kr,47.84,1263,680,,,,,,,,,
2026-06-01,IOS,dhgate_product340_US_Purchase 30D_purchase_IAP_Kelsey_20260516,yznk4uz7IRlNu5TH,48.64,1121,506,,,,,,,,,
2026-06-02,ANDROID,dhgate_product317_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,zbor8ujPF081oChW,45.28,5071,1808,,,,,,,,,
2026-06-02,IOS,dhgate_product326_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260506,zMf9PKJzCf4uVI7T,47.92,1380,826,,,,,,,,,
2026-06-02,ANDROID,dhgate_product322_US_Purchase 30D_purchase_IAP_Kelsey_20260504,UEOt0CeUKtYLfLaH,50.23,4795,269,,,,,,,,,
2026-06-02,IOS,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,ihMCrglFMezOy59I,50.0,4896,212,,,,,,,,,
2026-06-02,ANDROID,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,REqYVaM8BdMh2U81,50.34,4307,345,,,,,,,,,
2026-06-02,IOS,dhgate_product319_US_Purchase 30D_purchase_IAP_Kelsey_20260429,SGOG7us7fBY7c5lH,82.6,4426,685,,,,,,,,,
2026-06-02,IOS,dhgate_product318_T1_Purchase 30D_purchase_IAP_Kelsey_20260428,mayu0PGeMJEYQhWJ,135.29,7339,998,,,,,,,,,
2026-06-02,IOS,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,H9HAtL9q0yyc4Gdy,100.31,3854,886,,,,,,,,,
2026-06-02,ANDROID,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,tDzMEZEldS4Kei0r,63.22,2435,838,,,,,,,,,
2026-06-02,IOS,dhgate_product317_CA_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,cvR7ymoBxgm2d26z,23.33,654,307,,,,,,,,,
